1,2,3,4,5,6,7
ANTALYA DEVLET HASTANESİ YANINDA KOMPLE SATILIK BİNA 8 ADET 2+1,4,2,Klima,60.0,26.000.000 TL,
3 katlı inşaat halinde satılık,3,1,Doğalgaz (Kombi),110.0,10.500.000 TL,
ANTALYA MURATPAŞA-- KÖŞEBAŞI KOMPLE SATILIK BİNA.,3,2,Doğalgaz (Merkezi),211.0,35.000.000 TL,
TERACİTY ARKASI TAPULU 18 adet 1+1 KOMPLE SATILIK BİNA,3,4,Klima,260.0,39.500.000 TL,
ARSA FİYATINA KOMPLE BİNA!DUTLUBAHÇE MH.GAZİ BULVR DİBİ-8 DAİRE!,3,2,Klima,306.0,16.500.000 TL,
Kemer Kuzdere'de 1153 m2 Arsa İçinde Satılık Bina,3,1,Yok,300.0,7.250.000 TL,
SATILIK HİSSELER,3,2,Soba,750.0,900.000 TL,
ÜNALOĞLUNDAN FENER KAMUDA 18 TAPULU KOMPLE SATILIK BİNA,3,4,Klima,260.0,39.500.000 TL,
'' Tuya Gayrimenkul'den Yükseliş Mah. Komple Satılık Bina'',3,1,Yok,150.0,10.000.000 TL,
FABRİKALAR MAHALLESİ'NDE KOMPLE SATILIK BİNA,3,1,Klima,400.0,32.000.000 TL,
,,,,,,
MMT TUNÇ PARADİSE1,9 +,5 +,Klima,57.0,3.875.000 TL,
ALTUNKONUT DAN MURATPAŞA MERKEZDE SATILIK KOMPLE BİNA,6,1,Doğalgaz (Kombi),8.0,160.000.000 TL,
sülekler de müstakil çiftlik takas sız 2000m tapu alanı,1,1,Soba,90.0,2.500.000 TL,
Ahmet Onurdan Merkezde 6 Katlı 1500 m2 Satılık Bina,6,1,Klima,1.5,44.750.000 TL,
SATILIK 6 DAİRELİK LÜKS BİNA,3,2,Doğalgaz (Kombi),80.0,15.000.000 TL,
GÜLVEREN'DE YÜKSEK KİRA GETİRİLİ 11 ADET EŞYALI SATILIK DAİRE,4,4,Klima,75.0,23.500.000 TL,
ACİL FIRSAT GÜNDOĞDU MAH DÜKKAN +KOMPLE BİNA 3 KATLI,3,1,Güneş Enerjisi,653.0,16.000.000 TL,
JAKOBS HOMEDE 8 DAİRE,3,2,Klima,65.0,11.000.000 TL,
döşemealtı altınkale 330m2 5+1 villa havuz otopark 550m2 arsa,2,1,Yerden Isıtma,330.0,14.900.000 TL,
ANTALYA ELMALI YENİ MAHALLE 80 EVLERDE ARSASIYLA SATILIK BİNA,2,2,Soba,400.0,5.480.000 TL,
ANTALYA ERENKÖY.DE.ÖZEL.YAPI­M.MUSTAKIL.TIRIPLESK 14+1.262.M2,3,1,Klima,262.0,7.380.000 TL,
MY TOWN GAYRIMENKULDEN SATILIK KOMPLE BİNA VE APARTA UYGUN,3,2,Klima,440.0,19.000.000 TL,
Kapalı Yol'a 50m 8 Katlı Deniz Manzaralı Bina,8,5 +,Klima,1.472,33.300.000 TL,
ANTALYA KEPEZ VARSAKTA 6 DAÌRELIK KOMPLE BINA,4,2,Klima,750.0,12.500.000 TL,
ALANYA/KIZLARPINARI MAH.KLEOPATRA PLAJINA 50 MT SATILIK BİNA,6,2,Yok,80.0,59.999.999 TL,
