3,,3,1,83000000,7
3,1,3,160,21000000,7
5,,3,55,41000000,7
3,1,3,170,4250000,7
3,2,0,628,49500000,7
2,1,2,200,5700000,7
3,1,3,360,32000000,7
4,1,3,295,15000000,7
3,1,0,390,12000000,7
2,2,3,1,34500000,7
5,1,3,95,11750000,7
3,2,3,400,12000000,7
2,1,1,600,13500000,7
3,1,3,500,9900000,7
3,1,2,175,12000000,7
3,1,3,1,11500000,7
5,1,3,700,31500000,7
2,1,3,175,5100000,7
2,3,3,58,25000000,7
4,2,2,500,22500000,7
3,1,2,145,8750000,7
5,1,3,288,27500000,7
3,2,1,90,22450000,7
3,1,3,780,79000000,7
5,1,1,350,32000000,7
2,1,0,45,2700000,7
2,1,3,205,29000000,7
5,1,3,765,90000000,7
3,2,3,120,16000000,7
7,1,3,470,20000000,7
3,4,3,750,110000000,7
3,1,3,333,9000000,7
2,2,0,700,31000000,7
3,1,1,700,28250000,7
8,1,3,1,57000000,7
3,1,1,250,14100000,7
4,4,3,1,75000000,7
3,2,2,660,24000000,7
3,1,2,655,7250000,7
3,3,3,320,14250000,7
1,1,3,45,650000,7
3,1,6,454,5050000,7
3,1,3,150,6500000,7
3,1,3,548,11500000,7
3,2,3,366,12000000,7
4,1,3,400,55000000,7
2,2,3,1,100000000,7
2,1,3,236,89999000,7
4,,3,900,65000000,7
3,2,3,170,19000000,7
3,2,3,200,38250000,7
2,3,3,400,30450000,7
4,2,3,60,26000000,7
3,1,1,110,10500000,7
3,2,5,211,35000000,7
3,4,3,260,39500000,7
3,2,3,306,16500000,7
3,1,0,300,7250000,7
3,2,2,750,900000,7
3,4,3,260,39500000,7
3,1,0,150,10000000,7
3,1,3,400,32000000,7
9,,3,57,3875000,7
6,1,1,8,160000000,7
1,1,2,90,2500000,7
6,1,3,1,44750000,7
3,2,1,80,15000000,7
4,4,3,75,23500000,7
3,1,4,653,16000000,7
3,2,3,65,11000000,7
2,1,7,330,14900000,7
2,2,2,400,5480000,7
3,1,3,262,7380000,7
3,2,3,440,19000000,7
8,,3,1,33300000,7
4,2,3,750,12500000,7
6,2,0,80,59999999,7
4,2,0,160,16300000,7
4,1,3,300,14000000,7
3,2,1,680,16000000,7
4,2,3,600,24000000,7
5,3,3,700,52623000,7
4,1,1,355,19000000,7
3,1,3,280,17500000,7
3,1,3,400,19000000,7
2,1,2,250,2650000,7
2,2,3,770,28000000,7
3,1,3,65,6500000,7
4,2,3,1,55000000,7
3,3,0,355,38500000,7
3,1,3,400,7849000,7
5,3,3,580,18500000,7
5,1,3,525,10999000,7
3,1,1,600,49000000,7
2,1,2,250,39500000,7
4,1,3,560,19700000,7
2,2,3,350,25000000,7
2,2,3,780,36000000,7
2,1,3,150,14900000,7
4,,0,150,23500000,7
4,2,1,345,16500000,7
2,1,3,275,15748000,7
3,1,3,420,10068000,7
3,1,3,278,6550000,7
4,1,0,600,65000000,7
4,1,1,850,20350000,7
4,1,3,186,31500000,7
4,4,3,100,23000000,7
5,2,1,800,24900000,7
4,2,3,800,58000000,7
4,2,1,95,24500000,7
2,1,0,500,12500000,7
3,2,3,660,32000000,7
3,1,3,513,13000000,7
3,1,3,240,9500000,7
3,1,3,200,27500000,7
5,2,0,816,30000000,7
4,3,3,14,48500000,7
4,1,2,100,10900000,7
