1,2,3,4,5,6,7
BORNOVA ATATÜRK MAHALLESİNDE 4 DAİRE 1 DÜKKAN SATILIK,4.0,1,Doğalgaz (Kombi),130.0,13.500.000 TL,
Karabağlar Yeşilyurt Satılık 4 Katlı Bina,4.0,1,Klima,436.0,4.350.000 TL,
KARABAĞLAR BOZYAKA' DA ANA CADDE ÜZERİ KÖŞE BİNA 3 KATLI,3.0,1,Doğalgaz (Kombi),147.0,16.250.000 TL,
CB PRİME'DAN Balçova İSTİNYE PARK YAKINI SATILIK KOMPLE BİNA,3.0,1,Klima,140.0,26.600.000 TL,
YEŞİLOVADA SATILIK 4 KATLI BİNA,4.0,1,Yok,105.0,7.000.000 TL,
꧁ASEL꧂ATATÜRK MAH. 10 YAŞINDA KAT MÜLKİYETLİ KOMPLE SATILIK BİNA,3.0,1,Doğalgaz (Kombi),160.0,8.990.000 TL,
URLA MERKEZDE 2 ADET 3+1 DAİRE 1 ADET DÜKKAN SATILIK KOMPLE BİNA,3.0,1,Yok,516.0,15.500.000 TL,
URLA MERKEZ TAŞ BİNA,1.0,1,Yok,210.0,16.500.000 TL,
TARİHİ AGORA YAKINI 329 m2 ZEMİN X 2 kat FAAL BİNA SATILIKTIR,2.0,2,Klima,329.0,18.000.000 TL,
Karşıyaka Örnekköy'de Satılık Komple Bina,4.0,1,Doğalgaz (Kombi),80.0,5.900.000 TL,
İzmir'in En Değerli Konumunda Satılık Komple Bina,8.0,1,Doğalgaz (Kombi),768.0,108.000.000 TL,
BUCA NIN YENI GÜN MAH. BÖLGESİN' DE KOMPLE VE TEK TEK SATILIK,3.0,2,Klima,95.0,13.750.000 TL,
YAŞANIR DAN BORNOVA ALTINDAĞ MEVİNDE SATILIK 2 KATLI KOPMLE BİNA,2.0,1,Yok,160.0,1.650.000 TL,
GÖKHAN DOĞAN'DAN SELVİLİ'DE 3 KATLI DOĞALGAZLI KOMPLE BİNA,3.0,1,Doğalgaz (Kombi),118.0,3.300.000 TL,
GAZİ OSMAN PAŞA MAH NEST SİTESİ KARŞI SOKAĞI KOMPLE SATILIK BİNA,2.0,1,Doğalgaz (Kombi),115.0,3.490.000 TL,
İzmir Konak'da Deniz Manzaralı 3 katlı Bina Araç Takası Olur,3.0,1,Klima,83.0,1.200.000 TL,
GÜNALTAY'DA 208M2 ARSA ÜZERİNDE 2KAT 4 DAİRE,2.0,2,Soba,208.0,2.650.000 TL,
AKEVLER CİVARI 3 DAİRE BİRDEN 2 ADET 3+1 1 ADET 1+1 FIRSAT,3.0,1,Soba,100.0,1.900.000 TL,
BUCA GÖKSU MAHALLESİNDE 3 KATLI SATLIK BİNA,3.0,1,Doğalgaz (Kombi),110.0,2.750.000 TL,
Satılık Doğalgaz (Kombi) Lüx Emsalsiz Konumda  Emlak Ofisinden Ferah,3.0,1,Doğalgaz (Kombi),141.0,5.900.000 TL,
BAYRAKLI EMEK MAHALLESİNDE SATILIK 4 KATLI BİNA,4.0,1,Klima,178.0,5.050.000 TL,
BAYRAKLI GÜMÜŞPALA'DA KOMPLE SATILIK 2 KATLI BİNA,2.0,1,Yok,94.0,3.130.000 TL,
GIDA ÇARŞISINDA MÜKEMMEL KONUMDA SATILIK 4 KATLI BİNA,4.0,4,Klima,230.0,15.000.000 TL,
"CEMİL HASEKİOĞLU'NDAN 121 M TEK TAPU,İMARLI,MUHTEŞEM KONUM",3.0,1,Yok,121.0,4.000.000 TL,
ALTINDAĞ'DA 2 DÜKKAN VE 2 DAİRESİ BULUNAN KOMPLE SATILIK BİNA,3.0,1,Yok,194.0,2.500.000 TL,
BUCA ATATÜRK MAHALLESİNDE MUSTAKİL 3 KATLI BİNA,3.0,1,Doğalgaz (Kombi),350.0,6.000.000 TL,
İZMİR BORNAVA'DA 4 KATLI KOMPLE SATILIK BİNA,4.0,1,Doğalgaz (Kombi),100.0,9.000.000 TL,
URLA KALABAK'TA TABELA DEĞERİ YÜKSEK İŞLEK YOL ÜZERİ KOMPLE BİNA,3.0,1,Yerden Isıtma,1.35,145.000.000 TL,
Bayraklı Gümüşpala'da Köşe Konumlu Komple Satılık Bina,3.0,1,Yok,512.0,7.500.000 TL,
MERKEZDE ÖNÜ AÇIK KÖŞE KONUMDA 3 KATLI SATILIK KOMPLE BİNA,3.0,1,Doğalgaz (Kombi),280.0,4.750.000 TL,
YUNUS EMRE MAHALLESİNDE 3+1 KOMPLE SATILIK BİNA DÜKKAN DAHİL,4.0,1,Doğalgaz (Kombi),120.0,10.000.000 TL,
SERKAN SARI'DAN SATILIK KOMPLE BİNA 3 KAT 3 CEPHE ACİL SATILIK,3.0,1,Doğalgaz (Kombi),250.0,10.250.000 TL,
GÜLTEPE MURAT MAH. 168 m2 SATILIK KOMPLE BİNA 2.500.000 TL,4.0,2,Soba,168.0,2.500.000 TL,
DAİRE FİYATINA 6 YAŞINDA 3 KATLI SATILIK BİNA,3.0,1,Doğalgaz (Kombi),141.0,6.750.000 TL,
Turyap'tan Satılık 3 Katlı Yatırımlık Müstakil Bina,3.0,1,Doğalgaz (Kombi),130.0,4.200.000 TL,
Urla Sanat Sokağı'nda Satılık Taş Bina,2.0,1.0,Yok,208.0,17.000.000 TL,
BOZYAKA SEVGİ MAHALLESİNDE 4 KATLİ SATILIK BİNA,4.0,1.0,Doğalgaz (Kombi),120.0,6.280.000 TL,
Yeşildere 2katli,3.0,3.0,Soba,127.0,1.600.000 TL,
,,,,,,
BAHAR MAHALLESİNDE 3 KATLI BİNA,3.0,1.0,Doğalgaz (Kombi),120.0,4.500.000 TL,
ALİAĞA FORZA EMLAK'TAN ATATÜK CAD.KOMPLE SATILIK BİNA,4.0,2.0,Doğalgaz (Kombi),110.0,17.500.000 TL,
YEŞİM EMLAKTAN ZÜBEYDE HANIM MAHALLESİNDE SATILIK 2 KATLI BİNA,2.0,1.0,Klima,120.0,7.600.000 TL,
URLA İÇMELERDE 3 DAİREDEN OLUSAN SATILIK BİNA,3.0,1.0,Klima,75.0,6.500.000 TL,
ÇİĞLİ GÜZELTEPE'DE SATILIK AVLULU EV,2.0,1.0,Soba,80.0,3.000.000 TL,
KOMPLE SATILIK BİNA 5 KATLI ŞEHİR MANZARALI 2+1'LER,5.0,1.0,Klima,102.0,5.525.000 TL,
MAVİŞEHİR İZBAN VE ANADOLU CAD. 2 DAKİKA MESAFEDE SATILIK BİNA,4.0,1.0,Soba,166.0,7.200.000 TL,
Yenifoça Burunucu Mevkiinde Komple Satılık 3 Katlı Bina,3.0,1.0,Doğalgaz (Kombi),213.0,18.500.000 TL,
URLA ZEYTİNALANI'DA SATILIK BİNA,3.0,1.0,Doğalgaz (Kombi),330.0,29.650.000 TL,
BAYRAKLI NAFİZ GÜRMAN MH DENİZ MANZARALI SATILIK KOMPLE BİNA,2.0,1.0,Yok,141.0,5.500.000 TL,
İzmir Konak Ferahlı'da Satılık Bina,4.0,1.0,Soba,73.0,3.250.000 TL,
Bu Fiyata Yok! Satılık Emlak Ofisinden  Yok Son 3 gün! Hastalık Sebebiyle,4.0,1.0,Yok,100.0,5.500.000 TL,
__444'DEN__ 34.000 TL KİRA GETİRİLİ KOMPLE YAPILI EŞYALI BİNA,2.0,3.0,Klima,100.0,2.500.000 TL,
satılık 2 kat 3 daire ve arsa,2.0,1.0,Güneş Enerjisi,110.0,3.500.000 TL,
BOZYAKA SEVGİ MAHALLESİNDE 3 KATLI SATILIK BİNA,3.0,1.0,Doğalgaz (Kombi),110.0,5.180.000 TL,
BULUR'DAN 2 KATLI BAHÇELİ TERASLI MÜSTAKİL EVİMİZ SATILIKTIR,2.0,1.0,Soba,160.0,1.750.000 TL,
ERA NİVA'DAN BORNOVA PINARBAŞI'NDA SATILIK BİNA,1.0,1.0,Yok,119.0,3.100.000 TL,
EPA VIZYON 2' DEN ALACATI ICINDE OTELE UYGUN VILLA,2.0,2.0,Yok,249.0,26.500.000 TL,
"ÇİĞLİ, ATAŞEHİR DE, SATILIK 112 m2 YATIRIMLIK 2 KATLI BİNA",2.0,1.0,Doğalgaz (Kombi),112.0,3.900.000 TL,
SATILIK ANA YOL ÜZERİ 162 M2 KÖŞE 4 KATLI BİNA/ 2 DÜKKAN 3 DAİRE,4.0,1.0,Doğalgaz (Kombi),162.0,17.000.000 TL,
İZMİR BAYRAKLIDA 4 KATLI İÇİNDE KİRACISI MEVCUT,4.0,1.0,Yok,100.0,4.685.000 TL,
REMAX BEST'TEN GÜMÜŞPALA MERKEZDE KÖŞE KONUMDA SATILIK BİNA,2.0,1.0,Klima,200.0,2.750.000 TL,
"KEMERALTI , HAREKETLİ BİR SOKAKDA 110 m2 (KOMPLE BİNA)",2.0,1.0,Yok,110.0,7.850.000 TL,
ÖZBEY MAHALLESİNDE 3 DAİRELİK SATILIK MÜSTAKİL APARTMAN,3.0,1.0,Doğalgaz (Kombi),310.0,4.250.000 TL,
KARABAĞLAR MERKEZ'DE ESERKENT'TE 132 m2 2 Katlı BİNA SATILIKTIR.,2.0,1.0,Yok,132.0,2.750.000 TL,
14 MAYIS MAH. YILBAŞINA KADAR GEÇERLİ İNDİRİMLİ FİYAT 2+1 DAİRE,3.0,1.0,Doğalgaz (Kombi),110.0,1.725.000 TL,
Sahibinden muhteşem lokasyonda 5 katlı bina,5.0,1.0,Doğalgaz (Kombi),130.0,13.850.000 TL,
KOZAĞAÇ MAHALLESİN'DE KOMPLE SATILIK 3 KATLI BİNA 2+1 DAİRELER,3.0,1.0,Doğalgaz (Kombi),100.0,5.250.000 TL,
!!ÖZEL OKUL RUHSATLI KİRACILI KOMPLE BİNA!!,4,1,Doğalgaz (Kombi),1.25,13.500.000 TL,
SUBAYEVLERİ'NDE 8 ADET 2+1 DAİREYE SAHİP KOMPLE SATILIK BİNA,3,2,Doğalgaz (Kombi),600.0,14.750.000 TL,
Yenimahalle'de Komple Satılık Bina,3,2,Doğalgaz (Kombi),900.0,17.500.000 TL,
,,,,,,
Hastalık Sebebiyle Doğalgaz (Kombi) Kaçırılmayacak Fırsat! Çok Uygun Bina Emlak Ofisinden,3,1,Doğalgaz (Kombi),275.0,13.500.000 TL,
