_1,_2,_3,_4,_5,_6,_7
Rafet Paşa' da Yatırımlık Komple Satılık Bina,4,4,Doğalgaz (Kombi),151,12.000.000 TL,
BORNOVA ATATÜRK İNİÖNÜ MAH SATILIK ÜÇ KATLI BİNA VE BİR DÜKKAN,3,1,Doğalgaz (Kombi),450,15.500.000 TL,
"YENİ mh.286m2 Arsa.ALANLI,BAHÇEL İ,DENİZman.D.gazlı MÜSTAKİL BİNA",3,1,Doğalgaz (Kombi),300,8.500.000 TL,
Ballıkuyu Kentsel Dönüşüm Bölgesinde Satılık Komple Bina,3,1,Yok,185,4.500.000 TL,
BORNOVA ÇAMDİBİNDE KOMPLE SATILIK BİNA,4,1,Klima,560,6.200.000 TL,
İZMİR KONAKTA SATILIK BİNA,2,2,Soba,289,2.500.000 TL,
MERT TEKİN'DEN ANA CADDE ÜZERİ FIRSAT 2 DÜKKAN 3 DAİRE 224 M2,2,2,Doğalgaz (Kombi),214,15.000.000 TL,
IZ ALKAN EMLAK TAN SATILIK BİNA,2,1,Kalorifer,280,4.750.000 TL,
Karabağlar Sanayide Satılık Komple Bina,3,1,Soba,143,5.280.000 TL,
GAZİEMİR EMREZ DE TOPLAM 4 KATLI FIRSAT BİNA TEK TAPU,4,1,Klima,262,5.750.000 TL,
Sahibinden Satılık Bina,2,2,Doğalgaz (Kombi),178,2.500.000 TL,
BORNOVA MTK SİTESİN DE 1000M2 SATILIK DEPO VE ÜRETİM TESİSİ,4,5 +,Klima,1.000,14.500.000 TL,
BİR DAİRE FİYATINA 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),141,6.750.000 TL,
Buca Heykel Yakını Satılık Komple Bina,3,2,Klima,1.258,58.000.000 TL,
URLA İSKELE MAHALLESİNDE KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),214,35.000.000 TL,
ŞİRİNYER KOMPLE SATILIK 10 DAİRE TEK TEK TAPULU HEPSİ,5,2,Doğalgaz (Kombi),85,15.000.000 TL,
URLA MERKEZİ KONUM SATILIK BİNA (bir hafta geçerli indirim),3,1,Doğalgaz (Kombi),248,18.750.000 TL,
KAZIMDİRİK MAHALLESİN DE SATILIK KOMPLE BİNA,2,1,Yok,300,14.500.000 TL,
Ana cadde üzeri Gültepe merkez'de Bina. Dükkân ve 2+1 daire,2,1,Klima,90,1.850.000 TL,
Bornova Komple Satılık Bina,3,1,Doğalgaz (Kombi),130,8.650.000 TL,
Urla Kalabak'ta Satılık Komple Bina (Daire ve Dükkan),3,1,Doğalgaz (Kombi),300,30.000.000 TL,
SIFIR BİNA,4,2,Doğalgaz (Kombi),90,13.800.000 TL,
Bornova Çamdibinde Komple Satılık 2 Katlı Bina,2,1,Doğalgaz (Kombi),92,4.250.000 TL,
Urla Merkezde Satılık Komple Bina,3,1,Yok,330,25.000.000 TL,
GÜNEŞ EMLAK'TAN 4 ADET 2+1 95 m2 LİK DAİRELERDEN OLUŞAN SATILIK,4,1,Yok,120,4.850.000 TL,
Konak Levent Mahallesinde Satılık Müstakil Konut,1,1,Soba,70,1.050.000 TL,
Tr TİRE GAYRİMENKULDEN 3 KAT TİCARİ İMARLI SATILIK MÜSTAKİL BİNA,3,1,Kalorifer,346,7.500.000 TL,
ŞİRİNYER HİPODRUM YANINDA 2.KATLI SIFIR MÜSTAKİL BİNA,2,1,Doğalgaz (Kombi),135,6.500.000 TL,
Yapıcıoğlu Satılık Bina,2,1,Yok,100,5.000.000 TL,
Satılık ev,2,2,Soba,76,640.000 TL,
5 katlı SAHİBİNDEN SATILIK BİNA,5,1,Doğalgaz (Kombi),120,9.500.000 TL,
ÇAMDİBİ MAHALLESİNDE SIFIR TADİLATLI KOMPLE SATILIK BİNA,3,1,Doğalgaz (Kombi),250,7.000.000 TL,
BAYRAKLI ŞEHİR HASTANESİNE YÜRÜME MESAFESİNDE SATILIK BİNA,6,2,Doğalgaz (Kombi),1.500,95.000.000 TL,
PINARBAŞI BORNOVADA KOMPLE SATILIK MERKEZİ KONUMDA EMSALSİZ BİNA,3,1,Doğalgaz (Kombi),337,17.500.000 TL,
Çiğlide Komple Satılık Bina,3,1,Doğalgaz (Kombi),420,10.250.000 TL,
ERA NİVA'DAN KONAK GÜRÇEŞME'DE SATILIK 115 M2 KOMPLE BİNA,1,1,Klima,115,1.900.000 TL,
BUCA GÖKSU MAH 4 KATLI CADDE ÜSTÜ BİNA SATILIKTIR,4,1,Doğalgaz (Kombi),115,7.250.000 TL,
SAN GAYRİMENKUL DEN SATILIK TAŞ BİNA,1,5 +,Klima,180,10.000.000 TL,
BABACAN'DAN YAMANLAR'DA SATILIK 2 KATLI ''FIRSAT''MÜSTAKİL BİNA,2,1,Klima,130,2.440.000 TL,
8 Yıllık 156 mt 3 katlı bina,3,1,Doğalgaz (Kombi),156,8.550.000 TL,
,,,,,,
hastaneye alışveriş merkezine pazar yerine anayola yakın,2,1,Doğalgaz Sobası,336,5.300.000 TL,
