1,2,3,4,5,6
9,2.0,0,2,108000000,34
7,,0,8,1500000000,34
4,1.0,2,340,33000000,34
3,2.0,0,177,13000000,34
5,2.0,4,230,18250000,34
5,1.0,0,177,34500000,34
6,1.0,0,108,28500000,34
5,1.0,0,200,19000000,34
5,1.0,0,317,8850000,34
4,2.0,0,120,3850000,34
6,2.0,0,558,160000000,34
5,1.0,0,157,6500000,34
5,1.0,7,1,375000000,34
5,1.0,0,404,19900000,34
5,3.0,0,180,10900000,34
4,2.0,3,430,41500000,34
3,1.0,0,600,25600000,34
3,1.0,0,80,4350000,34
5,1.0,2,288,15000000,34
7,1.0,0,910,55000000,34
2,2.0,0,114,4500000,34
4,1.0,0,600,16000000,34
4,1.0,0,220,7750000,34
4,4.0,0,350,25000000,34
5,2.0,0,220,49000000,34
6,1.0,0,3,85000000,34
5,1.0,0,260,9000000,34
4,1.0,0,136,45000000,34
4,1.0,0,183,11000000,34
6,,1,720,190000000,34
4,1.0,0,175,12850000,34
2,1.0,0,700,15000000,34
7,1.0,2,350,45000000,34
7,1.0,2,700,35000000,34
7,2.0,0,1,32500000,34
6,2.0,0,1,280000000,34
5,1.0,0,360,18000000,34
3,1.0,0,143,10990000,34
5,1.0,0,280,68000000,34
5,1.0,2,465,30000000,34
4,1.0,0,200,21000000,34
5,2.0,0,1,285000000,34
5,1.0,0,97,35000000,34
6,1.0,2,1,75000000,34
5,4.0,0,285,19490000,34
5,1.0,0,400,29000000,34
4,2.0,0,300,17850000,34
6,1.0,0,70,14000000,34
4,1.0,0,225,11000000,34
2,1.0,1,224,4300000,34
4,1.0,0,600,12500000,34
6,1.0,0,840,150000000,34
7,1.0,0,1,98000000,34
5,2.0,6,605,18000000,34
9,2.0,0,1,70000000,34
5,1.0,0,570,74500000,34
7,1.0,0,1,40000000,34
3,1.0,1,188,45000000,34
2,1.0,0,264,20000000,34
5,1.0,0,120,9500000,34
4,1.0,0,300,9000000,34
6,1.0,0,235,19500000,34
6,1.0,0,575,33000000,34
6,1.0,0,600,31000000,34
5,1.0,0,325,10750000,34
4,4.0,0,1,39000000,34
3,1.0,1,85,8000000,34
5,1.0,0,130,7500000,34
5,2.0,0,350,44800000,34
4,1.0,0,90,15000000,34
5,1.0,0,140,16000000,34
6,1.0,5,45,24800000,34
3,1.0,1,165,3750000,34
3,1.0,0,120,6250000,34
6,2.0,0,102,31000000,34
5,,0,4,146000000,34
9,2.0,0,1,17850000,34
4,1.0,0,600,23000000,34
5,2.0,0,970,35000000,34
2,1.0,0,220,4360000,34
6,1.0,1,660,15250000,34
3,1.0,0,95,6500000,34
5,1.0,5,335,35000000,34
3,3.0,0,118,8300000,34
4,1.0,7,170,27000000,34
8,1.0,1,750,75000000,34
6,1.0,0,356,23900000,34
2,1.0,0,125,6750000,34
7,1.0,2,1,160000000,34
7,1.0,2,1,160000000,34
3,2.0,0,206,10200000,34
5,1.0,0,120,11500000,34
4,1.0,0,200,11400000,34
7,1.0,4,70,26000000,34
6,1.0,2,1,45000000,34
4,1.0,0,120,6000000,34
4,1.0,0,75,4500000,34
4,2.0,0,85,11550000,34
3,1.0,0,420,6950000,34
6,1.0,0,90,46500000,34
4,1.0,0,128,13500000,34
4,1.0,0,700,14750000,34
5,1.0,0,450,15500000,34
4,2.0,0,684,28500000,34
3,1.0,2,325,25000000,34
4,1.0,6,450,65000000,34
6,2.0,0,1,39900000,34
3,1.0,0,120,6000000,34
5,1.0,0,750,19000000,34
3,1.0,0,300,32500000,34
8,1.0,0,560,19500000,34
7,1.0,0,55,50000000,34
5,2.0,0,1,85000000,34
3,1.0,0,600,10500000,34
4,1.0,0,68,12000000,34
5,1.0,0,378,8900000,34
4,2.0,0,500,120000000,34
4,1.0,6,335,5500000,34
3,1.0,0,580,85000000,34
4,1.0,0,195,9000000,34
3,1.0,0,78,9500000,34
4,3.0,0,140,10500000,34
3,1.0,0,195,4200000,34
5,1.0,0,184,15000000,34
7,1.0,0,800,45000000,34
5,1.0,0,300,8800000,34
4,1.0,0,80,30500000,34
3,1.0,0,600,75000000,34
3,1.0,0,85,4000000,34
2,1.0,0,200,3500000,34
7,2.0,2,248,70000000,34
8,2.0,2,6,120000000,34
4,4.0,2,550,30000000,34
6,1.0,0,100,12500000,34
8,,5,1,110000000,34
7,1.0,0,385,29000000,34
6,1.0,5,300,29500000,34
4,1.0,8,280,8500000,34
6,1.0,2,3,180000000,34
3,1.0,0,340,6250000,34
2,1.0,0,48,15400000,34
4,1.0,0,370,140000000,34
5,1.0,0,550,39000000,34
7,2.0,0,1,140000000,34
5,1.0,7,60,11000000,34
2,1.0,0,148,8000000,34
6,1.0,0,5,149500000,34
7,2.0,3,475,83250000,34
7,1.0,2,1,172000000,34
3,1.0,1,1,52000000,34
2,1.0,0,160,11750000,34
3,2.0,0,173,31360000,34
7,1.0,2,1,113000000,34
5,,0,1,105000000,34
3,1.0,0,114,66000000,34
5,1.0,0,430,11600000,34
7,1.0,0,1,45000000,34
4,1.0,1,130,9875000,34
3,1.0,0,66,150000000,34
9,,2,7,375000000,34
2,1.0,0,45,9000000,34
4,2.0,0,1,53500000,34
4,2.0,0,700,65000000,34
3,1.0,0,270,52000000,34
5,1.0,0,125,22000000,34
4,2.0,0,330,8650000,34
6,1.0,1,210,17000000,34
4,2.0,0,160,6500000,34
4,1.0,0,400,7500000,34
3,1.0,0,400,16500000,34
5,1.0,0,114,6750000,34
2,2.0,0,850,8250000,34
3,1.0,0,85,4750000,34
5,1.0,0,665,24500000,34
6,1.0,0,725,90000000,34
3,1.0,0,70,9200000,34
5,1.0,0,700,16500000,34
7,1.0,0,2,65000000,34
3,1.0,0,350,24500000,34
5,1.0,0,211,21000000,34
5,1.0,0,117,45000000,34
4,1.0,0,185,17500000,34
3,1.0,0,77,6000000,34
3,1.0,0,160,5500000,34
4,1.0,0,800,15600000,34
4,1.0,0,111,7750000,34
3,1.0,4,122,5000000,34
8,2.0,2,1,236000000,34
4,2.0,0,239,24000000,34
2,1.0,0,140,41500000,34
2,,0,187,88000000,34
4,1.0,0,85,22500000,34
3,1.0,8,112,4500000,34
3,1.0,0,100,6000000,34
5,2.0,0,300,43000000,34
4,4.0,0,98,9700000,34
5,1.0,0,190,28000000,34
7,,0,4,150000000,34
5,2.0,0,320,28500000,34
3,2.0,0,112,5210000,34
3,2.0,0,560,84500000,34
5,1.0,0,187,13500000,34
5,3.0,0,540,50000000,34
5,1.0,0,90,13200000,34
5,2.0,0,273,41000000,34
6,2.0,0,700,122250000,34
5,1.0,0,202,12000000,34
3,3.0,0,65,4100000,34
5,1.0,0,640,9000000,34
4,1.0,2,450,31725000,34
6,1.0,0,545,21000000,34
5,1.0,0,3,85000000,34
3,1.0,0,350,15000000,34
5,3.0,0,5,600000000,34
4,1.0,0,95,24000000,34
4,1.0,0,400,3620000,34
4,1.0,0,550,50000000,34
8,1.0,0,475,15500000,34
4,1.0,0,85,12500000,34
4,1.0,0,166,16000000,34
4,2.0,2,45,4100000,34
4,,0,900,165000000,34
4,1.0,0,310,12500000,34
3,1.0,4,350,40000000,34
2,2.0,6,550,25500500,34
4,1.0,0,65,5750000,34
5,3.0,6,900,33000000,34
3,2.0,0,420,26000000,34
4,2.0,0,149,56000000,34
4,,0,371,28300000,34
3,1.0,0,130,10000000,34
4,2.0,1,610,10900000,34
5,1.0,0,135,8500000,34
9,1.0,0,2,45000000,34
5,2.0,0,700,32000000,34
4,1.0,0,450,29500000,34
