1,2,3,4,5,6,7
BATIKENT YENİ BATI da ViLLA,4.0,1,Doğalgaz (Kombi),780.0,19.500.000 TL,
ERCİYES İŞYERLERİ 800M2 KAPALI ALAN ACİL SATILIK BİNA,4.0,1,Doğalgaz (Kombi),800.0,27.000.000 TL,
satılık 3 katlı bina,3.0,3,Doğalgaz (Kombi),167.0,4.750.000 TL,
MUSTAFA KEMAL MAH.'DE KOMPLE SATILIK BİNA,8.0,1,Doğalgaz (Kombi),1.81,120.000.000 TL,
"OKUL,HASTANE,OFİ­S,SHOWROOM...... KURUMSALA UYGUN SATILIK BİNA...",4.0,5 +,Doğalgaz (Merkezi),2.0,65.000.000 TL,
"ALTINDAĞ, NECATİBEY, IŞIKLAR CAD.SATILIK 1/2 HİSSELİ KOMPLE BİNA",3.0,2,Soba,315.0,4.750.000 TL,
SİRA YATIRIM'DAN ANKARA KALESİNDE HER İŞE UYGUN SATILIK BİNA,2.0,2,Doğalgaz (Kombi),130.0,6.750.000 TL,
YÜKSEK KİRA GETİRİLİ BİNA SİZ YATIRIMCISINI BEKLİYOR,6.0,5 +,Doğalgaz (Kombi),4.7,150.000.000 TL,
TİCARİ PARSELDE TAM FATURALI FULL EŞYALI KOMPLE BİNA,4.0,5 +,Doğalgaz (Merkezi),1.0,45.000.000 TL,
Satılık daire,1.0,3,Doğalgaz (Kombi),120.0,1.350.000 TL,
Sahibinden Satılık Yüksek Kira Getirili Komple Satılık Bina,5.0,2,Doğalgaz (Kombi),1.2,21.500.000 TL,
HAS EMLAK KEÇİÖREN MERKEZDE 40.750 NET KİRACILI KOMPLE YENİ BİNA,5.0,2,Doğalgaz (Kombi),1.0,12.250.000 TL,
İVEDİK OSB'DE 3 KATLI + TERASLI BİNA,3.0,1,Doğalgaz (Kombi),600.0,18.000.000 TL,
NASİP EMLAK'TAN 25.000 TL GETİRİLİ İSKANLI SATILIK KOMPLE BİNA,3.0,1,Doğalgaz (Kombi),225.0,5.500.000 TL,
GÖLBAŞI KARŞIYAKA MH. ( GÜZELYALI ) 630 m2 SATILIK 3 KATLI BİNA!,3.0,5 +,Doğalgaz (Kombi),630.0,23.250.000 TL,
"ÇANKAYA, İLKBAHAR MAHALLESİNDE SATILIK BİNA",4.0,1,Doğalgaz (Kombi),605.0,26.000.000 TL,
SİTELER TEZCAN SOKAK DA 1800 M2 KULLANIMLI KİRACILI SATILIK BİNA,5.0,1,Doğalgaz (Kombi),1.85,35.000.000 TL,
Beytepe Yavuz Sultan Selim Bulvarı üzerinde Müstakil İş Yeri,2.0,1,Yok,1.5,70.000.000 TL,
SEYFELİ'DEN GÜMÜŞDERE▀DE İSKANLI 4 DAİRELİ KOMPLE SATILIK BİNA,4.0,1,Doğalgaz (Kombi),219.0,6.750.000 TL,
KURUMSAL MEVCUT KİRACILI 5 KATLI ASANSÖRLÜ SATILIK KOMPLE BİNA,5.0,5 +,Doğalgaz (Kombi),1.1,22.500.000 TL,
ATABEY EMLAKTAN SİTELER ÇAMLITEPEDE SATILIK BİNA,4.0,3,Doğalgaz (Kombi),1.6,28.000.000 TL,
YAŞAMKENT'İN EN AVANTAJLI FİYATLI YÜKSEK KİRA GETİRİLİ BİNASI,3.0,2,Doğalgaz (Merkezi),400.0,12.500.000 TL,
KEÇİÖREN AKTAPEDE MERKEZİ KONUMDA KOMPLE SATILIK BİNA,5.0,4,Doğalgaz (Kombi),950.0,17.000.000 TL,
CAFER ACET'DEN SİNCAN MERKEZDE 3 KATLI KOMPLE SATILIK BİNA,3.0,1,Doğalgaz (Kombi),800.0,18.400.000 TL,
Oğulbey mahallesinde içinde bina olan 945 m2 imarlı arsa,2.0,1,Doğalgaz (Kombi),240.0,6.000.000 TL,
ULUCANLAR CADDESİNDE SATILIK İÇİ YAPISIZ DAİRELER,5.0,2,Yok,1.0,20.000.000 TL,
ODTU Prof'dan satılık bina,5.0,4,Doğalgaz (Merkezi),2.6,80.000.000 TL,
SİTELER SATILIK BİNA 800 M2 AVANTAJLI ANA CADDE YAKINI,4.0,1,Soba,800.0,15.900.000 TL,
İSTASYON CADDESİ ÜZERİNDE 500 M2 SIFIR SATILIK KOMPLE BİNA,5.0,1,Klima,500.0,27.000.000 TL,
SİTELER KAVŞAĞINDA KOMPLE SATILIK TİCARİ KOMPLEKS,5.0,5 +,Doğalgaz (Merkezi),10.0,530.000.000 TL,
KURUMSAL KİRACILI 4 KATLI 650M2 SATILIK KOMPLE BİNA,4.0,5 +,Doğalgaz (Kombi),650.0,22.000.000 TL,
ANKARA AKYURT ACİL SATILIK 3+1 DAİRE,1.0,4,Doğalgaz (Kombi),100.0,1.500.000 TL,
MUBESEVLERİNDE KOMPLE SATILIK BİNA,4.0,1,Doğalgaz (Merkezi),800.0,57.550.000 TL,
GAZİ POLİKLİNİĞİ YAKINI HAZIR YÜKSEK KİRA GETİRİLİ KOMPLE BİNA,5.0,2,Doğalgaz (Merkezi),450.0,19.500.000 TL,
"Ankara Çankaya Kavaklıdere 'de,Satılık içi Bölme'siz Bina",8.0,4,VRV,4.2,166.000.000 TL,
Çankaya'da Y E N İ yapılı 3000m.2 kapalı S A T I L I K bina,7.0,4,Doğalgaz (Kombi),3.0,84.000.000 TL,
KONUTKENT SATILIK KOMPLE BİNA,4.0,2,Doğalgaz (Kombi),440.0,19.000.000 TL,
BESA YATIRIM DAN KEÇİÖREN TEPEBAŞI MAH SATILIK KOMPLE BİNA,6,1,Doğalgaz (Kombi),234.0,14.750.000 TL,
GÖKSU ARI GAYRİMENKUL'DEN KARACA MAHALLESİ KOMPLE SATILIK BİNA,4,2,Doğalgaz (Kombi),3.7,85.000.000 TL,
YENİMAHELLE DEMETEVLERDE SATILIK 10 KATLI KOMPLE BİNA,9 +,2,Doğalgaz (Kombi),2.0,42.000.000 TL,
,,,,,,
ÇANKAYA'DA SATILIK BİNA KURUMSAL KİRACILI AYLIK 453.000TL,3,5 +,Doğalgaz (Merkezi),9.0,320.000.000 TL,
Ulus satılık bina,5,2,Soba,225.0,5.800.000 TL,
FIRSAT! Öveçlerde Sahibinden Komple Satılık Bina,5,2,Doğalgaz (Kombi),140.0,30.000.000 TL,
ÇANKIRI CADDESİNİN KALBİNDE KAÇIRILMAYACAK FIRSAT,4,5 +,Doğalgaz (Kombi),3.0,57.500.000 TL,
ANKARA GAZİ MAHALLESİNDE SATILIK 3 KATLI BİNA,3,3,Doğalgaz (Kombi),340.0,11.900.000 TL,
ÇANKAYA ARJANTİN CADDESİ SATILIK BİNA,4,1,Doğalgaz (Merkezi),1.0,53.900.000 TL,
TURANGÜNEŞ BULVAR CEPHELİ 1000M2 ARSA ÜZERİNE 4500M2 KOMPLE BİNA,8,1,Doğalgaz (Merkezi),4.5,98.900.000 TL,
ÇAYYOLU MERKEZ DE SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),850.0,34.950.000 TL,
Aynı binada sarılık 7 daire en az 70.000₺ kira getirili,5,2,Doğalgaz (Kombi),125.0,14.000.000 TL,
KARGALIDA MUHTEŞEM VİLLA,2,1,Soba,343.0,8.650.000 TL,
YILDIZEVLER ÇANKAYA KONAKLARI KDV Lİ SATILIK BİNA,9 +,1,Doğalgaz (Merkezi),1.8,41.800.000 TL,
HİKMET ÖZER CADDESİ KOMPLE SATILIK BİNA,2,1,Doğalgaz (Kombi),600.0,11.000.000 TL,
"Çankaya Atakule yakını ,1250m2.Arsalı S A T I L I K --B İ N A",5,4,Doğalgaz (Kombi),1.25,100.000.000 TL,
CENTURY 21 ATILIM'DAN SATILIK YÜKSEK KİRA GETİRİLİ OKUL,3,5 +,Doğalgaz (Kombi),5.0,170.000.000 TL,
SAHİBİNDEN GOP KOZA SOKAK DA KÖŞE BAŞI KUPON EMSALSİZ BİNA,4,1,Doğalgaz (Kombi),1.294,77.000.000 TL,
ANKARA ÇANKAYADA 300 BİN KİRA GETİRİLİ SATILIK REZİDANS,4,5 +,Doğalgaz (Merkezi),280.0,38.000.000 TL,
SİTELER SARIGÜL SOKAKTA 3 KATLI BİNA,3,1,Soba,400.0,8.750.000 TL,
Gölbaşı Ankara Caddesi Üzerinde Komple Satılık Bina,3,1,Doğalgaz (Kombi),660.0,22.000.000 TL,
SAMSUN YOLU ÜZERİ DEMİRCİLER SİTESİ 3300 m² KOMPLE SATILIK BİNA,8,1,Doğalgaz (Merkezi),3.3,51.500.000 TL,
ÇANKAYA'NIN PRESTİJLİ BÖLGESİNDE 1200m2 KOMPLE BİNA,5,1,Doğalgaz (Kombi),1.2,32.000.000 TL,
MAMAK LALAHAN KARŞIYAKA MAH KIŞ BAHÇELİ KOMPLE 9+3 SATILIK BİNA,3,1,Doğalgaz (Kombi),450.0,6.750.000 TL,
Hamamönünde Köşe Başı Hem Konut Hem İşyeri Olabilecek Konak,3,1,Soba,150.0,3.750.000 TL,
LOF GAYRIMENKULDEN KOMPLE SATILIK SIFIR BİNA,3,3,Doğalgaz (Kombi),1.318,40.000.000 TL,
YABANCILAR KIZILAY VE KAVAKLIDERE GÖBEĞİNDE KUPON FIRSAT KAÇMAZ,9 +,1,Doğalgaz (Merkezi),12.7,820.000.000 TL,
TUNALI CADDE ÜZERİ SATILIK KOMPLE SIFIR BİNA 43 DAİRE,7,5 +,Doğalgaz (Merkezi),6.5,430.000.000 TL,
MEDYA'DAN KEÇİÖREN AKTEPE'DE KOMPLE BİNA,4,1,Doğalgaz (Kombi),500.0,16.000.000 TL,
KIZILAY'DA EŞSİZ KONUMDA BİNA FIRSATI!!!,9 +,1,Doğalgaz (Merkezi),3.184,145.000.000 TL,
SİTELER KOPÇA SOKAK SATILIK BİNA,4,1,Soba,850.0,26.500.000 TL,
Yüksek Kira Getirili 10 Adet 1+1 Daireli Satılık Bina,3,2,Doğalgaz (Kombi),450.0,22.500.000 TL,
UĞUR MUMCU SOKAĞINDA SATILIK FIRSAT BİNA,4,1,Doğalgaz (Merkezi),1.21,29.750.000 TL,
keresteciler sanayi sitesi,4,4,Yok,750.0,12.800.000 TL,
ANGORA BULVARI ÜZERİNDE 300 M2 ARSALI 400 M2 KOMPLE BİNA!!!,4,1,Doğalgaz (Kombi),400.0,26.900.000 TL,
ERSAL'DAN SİTELER'DE CADDE ÜZERİ FULL + FULL YAPILI SATILIK BİNA,5,1,Doğalgaz (Kombi),2.15,70.000.000 TL,
2 katlı 2 ayrı daireli herbir daire 195m2,2,1,Doğalgaz (Kombi),400.0,2.850.000 TL,
EMEK ÖZDEMİR EMLAKTAN SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),850.0,35.000.000 TL,
ULUS SATILIK KOMPLE BİNA FIRSAT,5,1,Doğalgaz (Kombi),930.0,9.750.000 TL,
Cadde Üzeri Fırsat Satılık Komple Bina,3,2,Doğalgaz (Kombi),961.0,26.150.000 TL,
PARK CADDESİNE 100 METRE SIFIR BİNA YAŞLI BAKIM EVİNE UYGUN,5,5 +,Doğalgaz (Merkezi),2.5,117.000.000 TL,
YAŞAMKENT 'te 4500 m2 BİNA,4,5 +,Doğalgaz (Kombi),4.5,70.000.000 TL,
